lat,long,proj,placedesc,centroid,desc,link,service
,,#REF!, , , , , 
,,#REF!, , , , , 
33.5185892,-86.8103567,Birmingham housing consultant on-call,"Birmingham Region, AL","Birmingham, AL",,,"Housing, Zoning"
42.2436085,-71.1676536,Dedham 3A,"Dedham, MA","Dedham, MA","MBTA Communities Multifamily Zoning, Dedham, MA: CommunityScale team members led the zoning overlay effort for Dedham, an early adopter of the MBTA Communities requirements.",https://communityscale.io/dedham-mbta-communities-zoning/,Housing
41.4944764,-71.6708363,"Gardendale, AL Housing Needs Assessment","Gardendale, AL","Gardendale, AL","Comprehensive Plan: Housing Element, Gardendale, AL: Conducted housing needs assessment, stakeholder engagement, and zoning audit to support RPCGB’s completion of Gardendale’s Comprehensive Plan.",,Housing
44.4654332,-72.6874023,"Richmond, RI Housing Needs Assessment","Richmond, RI","Richmond, RI",,,Housing
41.6873832,-85.973517,Michiana Area Regional Housing Study,"Michiana Area, IN","Elkhart, IN","Regional Housing Study, Michiana Area Council of Governments: A detailed housing needs assessment and policy recommendations for the counties and municipalities of northern Indiana’s South Bend-Elkhart region.",,Housing
21.400298,-158.0477509,"Honolulu, HI Comprehensive Housing Plan","Honolulu County, HI","Honolulu County, HI","Comprehensive Housing Plan, Honolulu, HI: A needs assessment, spatial analysis, and policy study focused on unlocking attainable housing production in the country’s most expensive and constrained housing market.",https://communityscale.io/city-county-of-honolulu-housing-plan/,"Housing, Digital products"
39.76909,-86.158018,Eastside District Housing Study,"Indianapolis, IN","Indianapolis, IN","Housing Study, Eastside Indianapolis, IN: A study to examine homeownership dynamics in the Indy East Promise Zone. Developed interactive map product to illustrate housing needs, highlight potential parcels for redevelopment, and measure neighborhood vulnerability to displacement.",,Housing
39.76909,-86.158018,Central Indiana Housing Study,"Indianapolis Metro Area, IN","Indianapolis, IN","Regional Housing Study, Central Indiana: Comprehensive housing needs assessment for the Central Indiana Metropolitan Area, including regional and municipality levels of analysis. The project included extensive outreach to each community with an emphasis on engaging local staff and tailoring implementation strategies for each place's unique conditions, challenges, and opportunities.",,Housing
33.6601033,-86.8127702,"Middletown, RI Economic Development Element","Middletown, RI","Middletown, RI","Comprehensive Plan - Economic Development Element, Middletown, RI: Developed the economic development element for Middletown's 2025 Comprehensive Plan. Analyzed local economic sectors, including major growth at NAVSTA Newport (Navy, NOAA, USCG), and formulated state-aligned goals and policies to foster business, employment, agricultural vitality, and economic resiliency.",,Housing
41.9828721,-71.3288956,North Attleboro 3A,"North Attleboro, MA","North Attleboro, MA",Not_applicable,Not_applicable,Zoning
42.4697809,-70.9569024,"Lynn, MA Rezoning","Lynn, MA","Lynn, MA","Lynn, MA Rezoning: Authored a complete rezoning, translating the City’s vision into a practical framework, which was adopted unanimously by the Lynn City Council.",https://communityscale.io/lynn-rezoning/,Zoning
42.4697809,-70.9569024,"Lynn, MA ADU study","Lynn, MA","Lynn, MA",Not_applicable,Not_applicable,Zoning
42.2436085,-71.1676536,Dedham 40B,"Dedham, MA","Dedham, MA",Not_applicable,Not_applicable,Housing
42.4534026,-71.6734538,"Lancaster, MA Housing Production Plan","Lancaster, MA","Lancaster, MA","Housing Production Plan, Lancaster, MA: In-depth housing needs assessment, stakeholder interviews, community engagement, and strategies to satisfy the State’s reporting requirement.",https://communityscale.io/lancaster-housing-production-plan/,Housing
43.384549,-70.5436464,"Kennebunk, ME Housing Action Plan","Kennebunk, ME","Kennebunk, ME","Housing Needs Plan, Kennebunk, ME: Authored a housing plan analyzing local demographics, housing stock, and future needs. Established a 10-year production target with strategies emphasizing affordable, workforce, and senior housing, prioritizing development in village centers and away from climate hazards.",https://communityscale.io/kennebunk-housing-needs-plan/,Housing
